Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","358895","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2019","2019","1000 ha","362477","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","355775","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2021","2021","1000 ha","363519","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2022","2022","1000 ha","363519","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2023","2023","1000 ha","363243.6782","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1990","1990","1000 ha","6","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1991","1991","1000 ha","6","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1992","1992","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1993","1993","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1994","1994","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1995","1995","1000 ha","5","A","Official figure",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1996","1996","1000 ha","4.9","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1997","1997","1000 ha","4.8","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1998","1998","1000 ha","4.7","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","1999","1999","1000 ha","4.6","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2000","2000","1000 ha","4.5","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2001","2001","1000 ha","4.4","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2002","2002","1000 ha","3.3","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2003","2003","1000 ha","2.7","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2004","2004","1000 ha","2.6","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2005","2005","1000 ha","2.5","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6610","Agricultural land","2006","2006","1000 ha","2.4","I","Value imputed by a receiving agency",""
