Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2005","2005","1000 ha","8711","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2006","2006","1000 ha","8680","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2007","2007","1000 ha","8666","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2008","2008","1000 ha","8653","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2009","2009","1000 ha","8646","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2010","2010","1000 ha","8641","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2011","2011","1000 ha","8528","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2012","2012","1000 ha","8520","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2013","2013","1000 ha","8508","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2014","2014","1000 ha","8499","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2015","2015","1000 ha","8562.24","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2016","2016","1000 ha","8594.21","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2017","2017","1000 ha","8587.33","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2018","2018","1000 ha","8602.3","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2019","2019","1000 ha","8797","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2020","2020","1000 ha","8830","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2021","2021","1000 ha","8818","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2022","2022","1000 ha","8827","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2023","2023","1000 ha","8799","A","Official figure",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1990","1990","1000 ha","154","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1991","1991","1000 ha","154","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1992","1992","1000 ha","154","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1993","1993","1000 ha","155","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1994","1994","1000 ha","159","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1995","1995","1000 ha","165","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1996","1996","1000 ha","170","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1997","1997","1000 ha","172","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1998","1998","1000 ha","172","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","1999","1999","1000 ha","172","A","Official figure",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","2000","2000","1000 ha","173","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","2001","2001","1000 ha","174","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","2002","2002","1000 ha","175","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","2003","2003","1000 ha","176","I","Value imputed by a receiving agency",""
